,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
4,1481,silver,2020-05-26,2020-05-30,3,138.9,20.7,Clothes & Shoes,Clothes,Tracker Clothes,Casual V-Neck Men's Sweatshirt,US,3Top Sports
5,7931,gold,2020-11-04,2020-11-07,1,46.3,20.7,Clothes & Shoes,Clothes,Tracker Clothes,Casual V-Neck Men's Sweatshirt,US,3Top Sports
13,48101,silver,2019-12-11,2019-12-12,4,86.8,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
14,86034,gold,2020-10-10,2020-10-15,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
15,61791,silver,2020-11-03,2020-11-05,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
16,7722,silver,2020-11-12,2020-11-15,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
17,90179,gold,2020-11-19,2020-11-22,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
18,74349,gold,2021-01-10,2021-01-22,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
19,9478,gold,2021-02-11,2021-02-14,1,21.7,9.95,Children,Children Sports,Tracker Kid's Clothes,Children's Tee,US,3Top Sports
46,6106,silver,2019-10-18,2019-10-22,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
47,63737,gold,2019-11-08,2019-11-09,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
48,44229,gold,2019-11-30,2019-12-04,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
49,25538,silver,2019-12-27,2019-12-31,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
50,3374,silver,2020-04-30,2020-05-02,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
51,41807,silver,2020-05-17,2020-05-21,3,5.1,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
52,30995,silver,2020-06-26,2020-06-30,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
53,89615,silver,2020-07-05,2020-07-08,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
54,89469,gold,2020-07-08,2020-07-10,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
55,77043,gold,2020-08-10,2020-08-13,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
56,65587,gold,2020-08-24,2020-08-27,2,3.4,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
57,789,gold,2020-09-01,2020-09-05,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
58,87376,gold,2020-09-19,2020-09-22,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
59,18508,silver,2020-10-15,2020-10-20,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
60,30436,gold,2020-10-29,2020-10-31,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
61,62827,gold,2020-10-31,2020-11-03,1,1.7,0.8,Outdoors,Outdoors,Outdoor Gear,Plate Picnic Deep,GB,Prime Sports Ltd
