,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
1458,2281,gold,2021-08-30,2021-09-03,2,206.4,50.4,Outdoors,Outdoors,Sleepingbags,Tent Summer 195 Twin Sleeping Bag,GB,Outback Outfitters Ltd
1746,58945,silver,2021-08-30,2021-09-03,2,33.98,9.65,Clothes & Shoes,Shoes,Tracker Shoes,Multicolour Bathing Sandal,ES,Luna sastreria S.A.
2478,12890,gold,2021-08-30,2021-09-02,1,170.5,68.2,Sports,Winter Sports,Winter Sports,"Twain X-Scream 7.9 Ski,Sq 750 Dri",US,Twain Inc
3643,76429,silver,2021-08-30,2021-09-03,2,212.4,50.6,Clothes & Shoes,Clothes,Orion,Power Dmx Wide Shoes,CA,Fuller Trading Co.
6534,26347,gold,2021-08-30,2021-09-03,2,219.0,54.7,Sports,Assorted Sports Articles,Skates,Proskater Viablade S Roller Skates,US,Roll-Over Inc
8120,35849,silver,2021-08-30,2021-09-04,2,168.2,42.15,Outdoors,Outdoors,Sleepingbags,"Expedition10,Medium,Right,Blue Ribbon",DK,Top Sports
10468,44580,silver,2021-08-30,2021-09-01,3,945.3,150.0,Clothes & Shoes,Clothes,Massif,Massif Men's Race 3 Ski Bottle,FR,Massif S.A.
11481,41741,silver,2021-08-30,2021-09-03,1,253.5,108.0,Sports,Winter Sports,Ski Dress,Men's Ski Jacket Vent Air Pro,NO,Scandinavian Clothing A/S
13994,3436,gold,2021-08-30,2021-09-11,1,55.4,22.8,Sports,Assorted Sports Articles,Darts,Pacific 95% 23 Gram,GB,Royal Darts Ltd
13995,77600,silver,2021-08-30,2021-09-01,1,55.4,22.8,Sports,Assorted Sports Articles,Darts,Pacific 95% 23 Gram,GB,Royal Darts Ltd
15000,35365,silver,2021-08-30,2021-09-03,2,24.8,5.6,Sports,Team Sports,Soccer,Red Cap,GB,SportsFan Products Ltd
